zip,precinct,ward
60647,1,1
60647,2,1
60647,3,1
60647,4,1
60647,5,1
60647,6,1
60647,7,1
60647,8,1
60647,9,1
60647,10,1
60622,11,1
60647,11,1
60622,12,1
60647,12,1
60622,13,1
60622,14,1
60647,14,1
60622,15,1
60622,16,1
60622,17,1
60622,18,1
60622,19,1
60642,19,1
60622,20,1
60622,21,1
60642,21,1
60622,22,1
60622,23,1
60642,23,1
60622,24,1
60622,25,1
60642,25,1
60622,26,1
60642,26,1
60611,1,2
60611,2,2
60611,3,2
60611,4,2
60611,5,2
60611,6,2
60611,7,2
60611,8,2
60610,9,2
60611,9,2
60610,10,2
60654,10,2
60610,11,2
60654,11,2
60610,12,2
60610,13,2
60610,14,2
60610,15,2
60610,16,2
60610,17,2
60610,18,2
60610,19,2
60614,20,2
60610,21,2
60614,21,2
60610,22,2
60614,23,2
60642,23,2
60614,24,2
60614,25,2
60615,1,3
60653,1,3
60653,2,3
60616,3,3
60615,4,3
60653,4,3
60609,5,3
60616,6,3
60616,7,3
60615,8,3
60605,9,3
60605,10,3
60653,11,3
60615,12,3
60653,12,3
60605,13,3
60616,13,3
60605,14,3
60616,14,3
60609,15,3
60653,15,3
60605,16,3
60609,17,3
60616,18,3
60605,19,3
60616,19,3
60653,20,3
60605,21,3
60616,22,3
60609,23,3
60616,23,3
60653,23,3
60609,24,3
60653,24,3
60605,25,3
60609,26,3
60616,26,3
60653,26,3
60616,27,3
60615,1,4
60615,2,4
60615,3,4
60615,4,4
60653,4,4
60615,5,4
60653,5,4
60615,6,4
60653,6,4
60615,7,4
60615,8,4
60653,9,4
60653,10,4
60653,11,4
60653,12,4
60653,13,4
60653,14,4
60653,15,4
60653,16,4
60653,17,4
60653,18,4
60616,19,4
60616,20,4
60653,20,4
60616,21,4
60616,22,4
60616,23,4
60616,24,4
60605,25,4
60605,26,4
60605,27,4
60604,28,4
60605,28,4
60649,1,5
60649,2,5
60649,3,5
60649,4,5
60649,5,5
60649,6,5
60649,7,5
60649,8,5
60649,9,5
60619,10,5
60637,10,5
60649,10,5
60619,11,5
60637,11,5
60615,12,5
60637,12,5
60649,12,5
60637,13,5
60637,14,5
60615,15,5
60637,15,5
60615,16,5
60615,17,5
60615,18,5
60615,19,5
60615,20,5
60615,21,5
60615,22,5
60615,23,5
60637,23,5
60615,24,5
60637,24,5
60615,25,5
60637,25,5
60621,1,6
60621,2,6
60621,3,6
60621,4,6
60621,5,6
60637,6,6
60619,7,6
60637,7,6
60619,8,6
60637,8,6
60619,9,6
60621,10,6
60621,11,6
60620,12,6
60621,12,6
60619,13,6
60619,14,6
60619,15,6
60619,16,6
60619,17,6
60619,18,6
60620,19,6
60619,20,6
60620,20,6
60619,21,6
60619,22,6
60619,23,6
60619,24,6
60619,25,6
60619,26,6
60619,27,6
60619,1,7
60649,1,7
60619,2,7
60649,2,7
60619,3,7
60649,3,7
60649,4,7
60649,5,7
60649,6,7
60649,7,7
60649,8,7
60649,9,7
60649,10,7
60617,11,7
60649,11,7
60617,12,7
60617,13,7
60617,14,7
60649,14,7
60617,15,7
60617,16,7
60617,17,7
60617,18,7
60617,19,7
60617,20,7
60617,21,7
60617,22,7
60617,23,7
60617,24,7
60617,25,7
60617,26,7
60617,27,7
60617,28,7
60617,29,7
60617,30,7
60617,31,7
60619,1,8
60649,1,8
60619,2,8
60619,3,8
60649,4,8
60649,5,8
60617,6,8
60617,7,8
60649,7,8
60617,8,8
60619,9,8
60619,10,8
60619,11,8
60619,12,8
60617,13,8
60619,13,8
60617,14,8
60619,15,8
60619,16,8
60617,17,8
60617,18,8
60619,19,8
60619,20,8
60619,21,8
60628,21,8
60619,22,8
60619,23,8
60628,23,8
60628,24,8
60617,25,8
60619,26,8
60619,27,8
60619,28,8
60617,29,8
60649,30,8
60620,1,9
60628,1,9
60620,2,9
60628,2,9
60620,3,9
60628,4,9
60628,5,9
60628,6,9
60628,7,9
60628,8,9
60628,9,9
60628,10,9
60628,11,9
60628,12,9
60628,13,9
60628,14,9
60628,15,9
60628,16,9
60628,17,9
60628,18,9
60628,19,9
60628,20,9
60628,21,9
60628,22,9
60628,23,9
60628,24,9
60628,25,9
60628,26,9
60628,27,9
60827,28,9
60628,29,9
60628,30,9
60643,30,9
60827,30,9
60617,1,10
60617,2,10
60617,3,10
60617,4,10
60617,5,10
60617,6,10
60617,7,10
60617,8,10
60617,9,10
60617,10,10
60617,11,10
60617,12,10
60633,12,10
60617,13,10
60617,14,10
60617,15,10
60617,16,10
60617,17,10
60633,18,10
60633,19,10
60633,20,10
60633,21,10
60633,22,10
60617,23,10
60827,24,10
60827,25,10
60616,1,11
60616,2,11
60608,3,11
60616,3,11
60608,4,11
60608,5,11
60608,6,11
60616,7,11
60616,8,11
60608,9,11
60616,9,11
60616,10,11
60616,11,11
60616,12,11
60616,13,11
60608,14,11
60616,14,11
60608,15,11
60609,15,11
60608,16,11
60608,17,11
60609,17,11
60608,18,11
60609,18,11
60609,19,11
60609,20,11
60609,21,11
60616,21,11
60609,22,11
60609,23,11
60609,1,12
60632,2,12
60609,3,12
60608,4,12
60609,4,12
60608,5,12
60608,6,12
60609,6,12
60632,6,12
60632,7,12
60608,8,12
60609,8,12
60609,9,12
60632,10,12
60632,11,12
60632,12,12
60632,13,12
60632,14,12
60632,15,12
60632,16,12
60632,17,12
60609,18,12
60632,18,12
60609,19,12
60632,20,12
60609,21,12
60632,21,12
60632,22,12
60629,1,13
60629,2,13
60632,2,13
60638,3,13
60629,4,13
60632,4,13
60638,5,13
60638,6,13
60638,7,13
60638,8,13
60638,9,13
60638,10,13
60638,11,13
60629,12,13
60638,13,13
60638,14,13
60638,15,13
60638,16,13
60629,17,13
60629,18,13
60638,19,13
60638,20,13
60638,21,13
60629,22,13
60638,23,13
60638,24,13
60629,25,13
60629,26,13
60632,26,13
60629,27,13
60629,28,13
60629,29,13
60638,30,13
60638,31,13
60638,32,13
60638,33,13
60638,34,13
60638,35,13
60629,36,13
60638,37,13
60638,38,13
60638,39,13
60638,40,13
60629,1,14
60632,2,14
60629,3,14
60632,3,14
60629,4,14
60629,5,14
60632,5,14
60632,6,14
60632,7,14
60632,8,14
60629,9,14
60632,10,14
60632,11,14
60629,12,14
60632,13,14
60632,14,14
60629,15,14
60609,1,15
60609,2,15
60609,3,15
60609,4,15
60609,5,15
60609,6,15
60609,7,15
60609,8,15
60632,8,15
60609,9,15
60632,9,15
60629,10,15
60636,10,15
60629,11,15
60632,11,15
60629,12,15
60629,13,15
60629,14,15
60629,15,15
60629,16,15
60636,17,15
60636,18,15
60636,19,15
60609,20,15
60632,20,15
60621,1,16
60636,1,16
60609,2,16
60636,3,16
60636,4,16
60636,5,16
60636,6,16
60609,7,16
60609,8,16
60636,9,16
60636,10,16
60621,11,16
60636,11,16
60609,12,16
60636,13,16
60621,14,16
60636,14,16
60609,15,16
60621,16,16
60629,17,16
60636,17,16
60629,18,16
60636,18,16
60629,19,16
60636,19,16
60621,20,16
60621,21,16
60636,21,16
60629,22,16
60636,22,16
60629,23,16
60636,24,16
60621,25,16
60629,1,17
60629,2,17
60629,3,17
60636,3,17
60636,4,17
60621,5,17
60636,5,17
60636,6,17
60636,7,17
60636,8,17
60621,9,17
60636,9,17
60620,10,17
60636,11,17
60636,12,17
60636,13,17
60621,14,17
60620,15,17
60620,16,17
60620,17,17
60621,17,17
60620,18,17
60620,19,17
60620,20,17
60620,21,17
60620,22,17
60620,23,17
60620,24,17
60620,25,17
