zip,votingrates,2019avprice,complaintcounts,Population - Total,per1000_complaint,num_donations,total_donated,min_donation,max_donation,avg_donation
60601,27.308447937131632,460937.1666666667,2332,15083,154.6111516276603,62,783708.15,50.0,500000.0,12640.454032258065
60602,27.308447937131632,524355.8333333334,1068,1145,932.7510917030568,27,62610.0,150.0,25000.0,2318.8888888888887
60603,33.408071748878925,628765.0833333334,924,1052,878.3269961977186,24,139558.2,50.0,50000.0,5814.925
60604,33.408071748878925,425756.5833333333,708,823,860.2673147023087,18,30007.55,100.0,10000.0,1667.086111111111
60605,33.408071748878925,368652.4166666667,4588,29060,157.88024776324843,47,54460.01,0.01,25000.0,1158.7236170212766
60606,33.408071748878925,366560.5833333333,1709,3287,519.9269850927898,29,291946.05,50.0,100000.0,10067.105172413792
60607,21.38590203106332,393365.0,7569,29293,258.3893763015055,76,211596.79,71.53,25000.0,2784.168289473684
60608,21.38590203106332,299638.25,26076,80059,325.70978903058995,26,127147.77,100.0,100000.0,4890.298846153846
60609,28.010139416983524,188402.91666666663,28576,60939,468.9279443377804,12,15290.0,40.0,5000.0,1274.1666666666667
60610,28.010139416983524,388755.75,6135,40548,151.30216040248595,80,249039.28,40.0,100000.0,3112.991
60611,28.010139416983524,434319.8333333333,4198,33224,126.35444257163498,123,509111.24,50.0,50000.0,4139.1157723577235
60612,39.54727030625832,280536.9166666667,525875,33735,15588.409663554172,11,25627.5,100.0,5762.5,2329.7727272727275
60613,39.54727030625832,307267.8333333333,10692,50761,210.63414826343055,41,33214.0,10.0,10000.0,810.0975609756098
60614,37.26993865030675,569098.6666666666,17538,71954,243.73905550768544,104,166389.0,10.0,25000.0,1599.8942307692307
60615,37.26993865030675,232435.16666666663,9492,40590,233.85070214338504,49,57267.0,5.0,25000.0,1168.7142857142858
60616,28.571428571428573,340671.3333333333,10919,54197,201.4687159805893,25,13375.0,25.0,2500.0,535.0
60617,25.79415501905972,133841.41666666666,38982,83553,466.55416322573694,12,8390.0,15.0,5000.0,699.1666666666666
60618,29.27927927927928,466989.0833333333,35421,94907,373.2179923504062,22,15950.0,100.0,2500.0,725.0
60619,27.558139534883722,158841.0,31874,61207,520.7574297057525,7,1500.0,100.0,500.0,214.28571428571428
60620,27.558139534883722,155795.58333333334,34261,67711,505.9886872147805,7,2200.0,100.0,1000.0,314.2857142857143
60621,27.121001390820584,57173.5,21285,28018,759.6901991576843,1,500.0,500.0,500.0,500.0
60622,27.121001390820584,491897.25,18860,53294,353.88599091830224,28,25960.0,15.0,10000.0,927.1428571428571
60623,31.274638633377137,174250.75,31026,81283,381.7034312217807,7,25750.0,200.0,21100.0,3678.5714285714284
60624,31.274638633377137,168615.5,19252,34892,551.759715694142,2,3500.0,1000.0,2500.0,1750.0
60625,26.426076833527357,362744.3333333333,20573,79444,258.9622879009113,30,28200.0,50.0,10000.0,940.0
60626,24.441524310118265,205257.3333333333,8827,50544,174.63991769547323,13,5399.0,50.0,1500.0,415.3076923076923
60628,24.441524310118265,117470.83333333331,39523,64254,615.105674354904,3,5600.0,100.0,5000.0,1866.6666666666667
60629,24.441524310118265,201523.66666666663,32014,110029,290.959656090667,4,1650.0,200.0,750.0,412.5
60630,24.441524310118265,334401.5833333333,21450,56433,380.09675190048375,8,5225.0,25.0,2500.0,653.125
60631,28.237791932059448,367797.4166666667,11617,29529,393.4098682650953,17,104890.97,100.0,50000.0,6170.05705882353
60632,28.237791932059448,196797.66666666663,26424,89857,294.0672401704931,3,27000.0,1000.0,25000.0,9000.0
60633,26.857887874837026,126530.5,5544,12689,436.9138624005044,1,150.0,150.0,150.0,150.0
60634,26.857887874837026,300555.1666666667,27050,75082,360.2727684398391,12,47332.0,25.0,37800.0,3944.3333333333335
60636,26.857887874837026,78313.08333333333,25546,30024,850.8526512123634,5,127000.0,500.0,100000.0,25400.0
60637,28.286852589641434,159932.5,15890,47300,335.94080338266383,31,18245.0,35.0,7500.0,588.5483870967741
60638,28.286852589641434,242945.91666666663,23177,58669,395.0467879118444,12,2400.0,5.0,1000.0,200.0
60639,28.286852589641434,262052.75,24118,88204,273.4343113690989,1,250.0,250.0,250.0,250.0
60640,28.286852589641434,291715.0,13323,69363,192.07646728082693,43,56784.0,25.0,25000.0,1320.5581395348838
60641,47.04,332453.25,23572,69880,337.3211219232971,10,8100.0,50.0,5000.0,810.0
60642,47.04,464461.8333333333,8135,19716,412.60904848853727,11,22907.0,27.0,15000.0,2082.4545454545455
60643,45.08196721311475,191697.75,27279,48887,558.0011045881317,24,15900.0,100.0,4000.0,662.5
60644,45.08196721311475,167952.58333333334,16727,46591,359.0178360627589,4,1200.0,200.0,500.0,300.0
60645,25.648021828103683,292035.0,11852,47270,250.72984979902685,13,910.0,10.0,200.0,70.0
60646,36.96236559139785,416736.1666666667,12776,28569,447.19801183100566,25,22545.0,20.0,5000.0,901.8
60647,36.96236559139785,440420.75,30946,87633,353.1318110757363,43,285115.0,50.0,200000.0,6630.581395348837
60649,33.19946452476573,131206.5,13552,46633,290.6096541076062,10,8275.0,25.0,5000.0,827.5
60651,33.21554770318021,218491.8333333333,20865,63492,328.6240786240786,2,100.0,50.0,50.0,50.0
60652,33.21554770318021,198613.3333333333,16376,43447,376.9190047644256,3,2600.0,300.0,2000.0,866.6666666666666
60653,35.350756533700135,271820.4166666667,10105,33154,304.7897689569886,13,6900.0,50.0,2500.0,530.7692307692307
60654,35.350756533700135,385961.0833333333,3146,20022,157.12716012386375,64,180226.69,10.0,50000.0,2816.04203125
60655,24.892086330935253,254257.66666666663,12202,28569,427.10630403584304,8,3450.0,100.0,1000.0,431.25
60656,24.892086330935253,313119.9166666667,7884,28218,279.39613012970443,15,7050.0,50.0,1500.0,470.0
60657,27.883211678832115,448907.0833333333,16855,70958,237.53487978804364,75,101278.07,25.0,20000.0,1350.3742666666667
60659,27.883211678832115,324855.25,10993,42735,257.2364572364572,4,1300.0,250.0,500.0,325.0
