zipcode,complaintcounts,Population - Total,per1000_complaint,logged_complaint
60612,525875,33735,15588.409663554172,9.654282946813433
60666,299481,3101,96575.62076749436,11.478081615341878
60628,39523,64254,615.105674354904,6.421794081265096
60617,38982,83553,466.55416322573694,6.145374119069082
60618,35421,94907,373.2179923504062,5.922162678825026
60620,34261,67711,505.9886872147805,6.226514311754495
60629,32014,110029,290.959656090667,5.67318461869655
60619,31874,61207,520.7574297057525,6.25528434735712
60623,31026,81283,381.7034312217807,5.944643949026423
60647,30946,87633,353.1318110757363,5.86684138971678
60609,28576,60939,468.9279443377804,6.150449119836498
60643,27279,48887,558.0011045881317,6.324360941927975
60634,27050,75082,360.2727684398391,5.886861434658581
60632,26424,89857,294.0672401704931,5.683808449251881
60608,26076,80059,325.70978903058995,5.786006767190037
60636,25546,30024,850.8526512123634,6.746238965770003
60639,24118,88204,273.4343113690989,5.611061415205216
60641,23572,69880,337.3211219232971,5.8210353606919485
60638,23177,58669,395.0467879118444,5.979004208296159
60630,21450,56433,380.09675190048375,5.94042583057717
60621,21285,28018,759.6901991576843,6.632910717488331
60651,20865,63492,328.6240786240786,5.794914479315658
60625,20573,79444,258.96228790091135,5.556682444537685
60624,19252,34892,551.759715694142,6.313112653852028
60622,18860,53294,353.88599091830224,5.8689748017086405
60614,17538,71954,243.73905550768546,5.496098208388609
60657,16855,70958,237.53487978804364,5.470314474956936
60644,16727,46591,359.0178360627589,5.883372069880207
60652,16376,43447,376.9190047644256,5.9320303228926035
60637,15890,47300,335.94080338266383,5.816934964032875
60649,13552,46633,290.6096541076062,5.671980971876887
60640,13323,69363,192.07646728082693,5.257893559828136
60646,12776,28569,447.19801183100566,6.10300147601483
60655,12202,28569,427.10630403584304,6.057032937831779
60645,11852,47270,250.72984979902685,5.524376063888311
60631,11617,29529,393.4098682650953,5.974851990198291
60659,10993,42735,257.2364572364572,5.549995728960883
60616,10919,54197,201.46871598058934,5.30563411365387
60613,10692,50761,210.63414826343057,5.35012273405506
60653,10105,33154,304.7897689569886,5.719622256835047
60615,9492,40590,233.85070214338506,5.454682886704847
60660,9418,44498,211.6499617960358,5.354933786461534
60626,8827,50544,174.63991769547323,5.162726240960503
60642,8135,19716,412.60904848853727,6.022500530810007
60656,7884,28218,279.39613012970443,5.632630596081645
60607,7569,29293,258.3893763015055,5.554467657679002
60707,6312,43093,146.47390527463858,4.986847291599466
60610,6135,40548,151.30216040248595,5.019278899624859
60633,5544,12689,436.9138624005044,6.079736064454962
60605,4588,29060,157.88024776324843,5.061836820107124
60611,4198,33224,126.35444257163498,4.839090994052126
60654,3146,20022,157.12716012386375,5.057055414620931
60601,2332,15083,154.6111516276603,5.040913265684268
60661,1733,10354,167.3749275642264,5.1202363712358965
60606,1709,3287,519.9269850927898,6.253688388433509
60827,1427,28483,50.10005968472422,3.91402219940197
60602,1068,1145,932.7510917030568,6.838138382513937
60603,924,1052,878.3269961977186,6.778018957326166
60604,708,823,860.2673147023087,6.757243171998787
