ward,precinct,zip
39.0,12.0,60630
39.0,39.0,60630
35.0,30.0,60630
35.0,9.0,60630
39.0,3.0,60630
39.0,4.0,60630
39.0,5.0,60630
39.0,9.0,60630
39.0,7.0,60630
39.0,8.0,60630
39.0,11.0,60630
39.0,19.0,60630
39.0,6.0,60630
39.0,25.0,60630
39.0,29.0,60630
39.0,31.0,60630
39.0,35.0,60630
39.0,37.0,60630
39.0,38.0,60630
39.0,14.0,60630
39.0,17.0,60630
39.0,41.0,60630
39.0,24.0,60630
39.0,43.0,60630
38.0,1.0,60630
38.0,11.0,60630
38.0,14.0,60630
38.0,15.0,60630
38.0,18.0,60630
38.0,19.0,60630
38.0,33.0,60630
38.0,21.0,60630
38.0,22.0,60630
38.0,25.0,60630
38.0,31.0,60630
38.0,36.0,60630
38.0,32.0,60630
41.0,26.0,60630
45.0,7.0,60630
45.0,45.0,60630
45.0,27.0,60630
45.0,36.0,60630
45.0,34.0,60630
45.0,41.0,60630
45.0,12.0,60630
45.0,24.0,60630
45.0,25.0,60630
45.0,15.0,60630
45.0,26.0,60630
45.0,23.0,60630
45.0,40.0,60630
45.0,37.0,60630
45.0,38.0,60630
45.0,31.0,60630
45.0,43.0,60630
45.0,35.0,60630
45.0,30.0,60630
45.0,33.0,60630
45.0,14.0,60630
45.0,32.0,60630
45.0,21.0,60630
45.0,22.0,60630
45.0,39.0,60630
45.0,18.0,60630
45.0,19.0,60630
45.0,17.0,60630
45.0,28.0,60630
45.0,20.0,60630
45.0,47.0,60630
45.0,46.0,60630
45.0,29.0,60630
45.0,16.0,60630
39.0,12.0,60625
39.0,39.0,60625
40.0,1.0,60625
40.0,5.0,60625
40.0,6.0,60625
40.0,14.0,60625
40.0,17.0,60625
40.0,19.0,60625
40.0,20.0,60625
40.0,21.0,60625
40.0,23.0,60625
40.0,24.0,60625
40.0,30.0,60625
40.0,32.0,60625
40.0,34.0,60625
40.0,3.0,60625
40.0,11.0,60625
40.0,8.0,60625
40.0,7.0,60625
40.0,12.0,60625
40.0,13.0,60625
40.0,16.0,60625
40.0,38.0,60625
33.0,1.0,60625
33.0,3.0,60625
33.0,8.0,60625
33.0,23.0,60625
33.0,15.0,60625
33.0,18.0,60625
33.0,20.0,60625
33.0,21.0,60625
33.0,24.0,60625
33.0,27.0,60625
33.0,7.0,60625
33.0,2.0,60625
35.0,20.0,60625
35.0,22.0,60625
35.0,29.0,60625
35.0,30.0,60625
39.0,30.0,60625
35.0,31.0,60625
35.0,9.0,60625
39.0,18.0,60625
39.0,8.0,60625
39.0,10.0,60625
39.0,16.0,60625
39.0,25.0,60625
39.0,28.0,60625
39.0,29.0,60625
39.0,31.0,60625
39.0,33.0,60625
39.0,35.0,60625
39.0,38.0,60625
39.0,2.0,60625
39.0,13.0,60625
39.0,22.0,60625
47.0,38.0,60625
47.0,10.0,60625
47.0,13.0,60625
47.0,14.0,60625
47.0,16.0,60625
47.0,20.0,60625
47.0,21.0,60625
47.0,22.0,60625
47.0,26.0,60625
47.0,28.0,60625
47.0,36.0,60625
47.0,40.0,60625
47.0,42.0,60625
47.0,45.0,60625
39.0,39.0,60659
40.0,2.0,60659
40.0,9.0,60659
40.0,10.0,60659
40.0,15.0,60659
40.0,18.0,60659
40.0,19.0,60659
40.0,24.0,60659
40.0,29.0,60659
40.0,30.0,60659
40.0,32.0,60659
40.0,34.0,60659
40.0,35.0,60659
40.0,4.0,60659
40.0,39.0,60659
50.0,30.0,60659
50.0,10.0,60659
50.0,13.0,60659
50.0,17.0,60659
50.0,19.0,60659
50.0,23.0,60659
50.0,26.0,60659
50.0,32.0,60659
50.0,25.0,60659
50.0,29.0,60659
50.0,28.0,60659
50.0,31.0,60659
50.0,22.0,60659
50.0,39.0,60659
50.0,24.0,60659
39.0,18.0,60659
39.0,16.0,60659
39.0,26.0,60659
39.0,35.0,60659
39.0,32.0,60659
39.0,2.0,60659
39.0,13.0,60659
39.0,22.0,60659
39.0,36.0,60659
39.0,39.0,60646
39.0,42.0,60646
39.0,4.0,60646
39.0,11.0,60646
39.0,15.0,60646
39.0,1.0,60646
39.0,40.0,60646
39.0,26.0,60646
39.0,35.0,60646
39.0,37.0,60646
39.0,2.0,60646
39.0,23.0,60646
39.0,45.0,60646
39.0,27.0,60646
39.0,20.0,60646
39.0,24.0,60646
39.0,43.0,60646
39.0,21.0,60646
39.0,44.0,60646
39.0,36.0,60646
41.0,6.0,60646
41.0,14.0,60646
41.0,19.0,60646
41.0,21.0,60646
41.0,35.0,60646
41.0,39.0,60646
41.0,47.0,60646
41.0,32.0,60646
41.0,26.0,60646
41.0,9.0,60646
45.0,41.0,60646
45.0,42.0,60646
45.0,40.0,60646
45.0,37.0,60646
45.0,43.0,60646
45.0,39.0,60646
45.0,44.0,60646
40.0,9.0,60660
40.0,18.0,60660
40.0,22.0,60660
40.0,27.0,60660
40.0,28.0,60660
40.0,32.0,60660
40.0,33.0,60660
40.0,36.0,60660
40.0,37.0,60660
40.0,35.0,60660
50.0,28.0,60660
48.0,30.0,60660
48.0,20.0,60660
48.0,1.0,60660
48.0,3.0,60660
48.0,5.0,60660
48.0,7.0,60660
48.0,8.0,60660
48.0,13.0,60660
48.0,14.0,60660
48.0,15.0,60660
48.0,16.0,60660
48.0,18.0,60660
48.0,19.0,60660
48.0,46.0,60660
48.0,26.0,60660
48.0,27.0,60660
48.0,31.0,60660
48.0,32.0,60660
48.0,33.0,60660
48.0,37.0,60660
48.0,38.0,60660
48.0,39.0,60660
48.0,42.0,60660
48.0,44.0,60660
48.0,43.0,60660
48.0,41.0,60660
48.0,40.0,60660
48.0,34.0,60660
48.0,25.0,60660
48.0,45.0,60660
48.0,22.0,60660
49.0,2.0,60660
49.0,7.0,60660
49.0,17.0,60660
46.0,28.0,60613
46.0,29.0,60613
44.0,11.0,60613
46.0,30.0,60613
44.0,16.0,60613
44.0,25.0,60613
44.0,26.0,60613
44.0,31.0,60613
44.0,32.0,60613
46.0,7.0,60613
44.0,36.0,60613
44.0,38.0,60613
44.0,30.0,60613
46.0,5.0,60613
46.0,8.0,60613
46.0,9.0,60613
46.0,10.0,60613
46.0,11.0,60613
46.0,12.0,60613
46.0,13.0,60613
46.0,15.0,60613
46.0,17.0,60613
46.0,18.0,60613
46.0,20.0,60613
46.0,24.0,60613
46.0,25.0,60613
46.0,26.0,60613
46.0,27.0,60613
46.0,31.0,60613
46.0,34.0,60613
46.0,35.0,60613
46.0,36.0,60613
46.0,38.0,60613
46.0,39.0,60613
46.0,19.0,60613
46.0,3.0,60613
47.0,6.0,60613
47.0,4.0,60613
47.0,5.0,60613
47.0,10.0,60613
47.0,12.0,60613
47.0,18.0,60613
47.0,24.0,60613
47.0,25.0,60613
47.0,27.0,60613
47.0,28.0,60613
47.0,29.0,60613
47.0,35.0,60613
47.0,37.0,60613
47.0,39.0,60613
47.0,41.0,60613
47.0,43.0,60613
47.0,44.0,60613
47.0,47.0,60613
47.0,33.0,60613
46.0,29.0,60640
40.0,22.0,60640
40.0,23.0,60640
40.0,31.0,60640
40.0,32.0,60640
40.0,33.0,60640
40.0,26.0,60640
40.0,13.0,60640
40.0,16.0,60640
40.0,25.0,60640
46.0,1.0,60640
46.0,4.0,60640
46.0,6.0,60640
46.0,8.0,60640
46.0,9.0,60640
46.0,11.0,60640
46.0,12.0,60640
46.0,16.0,60640
46.0,20.0,60640
46.0,22.0,60640
46.0,23.0,60640
46.0,25.0,60640
46.0,26.0,60640
46.0,27.0,60640
46.0,32.0,60640
46.0,37.0,60640
46.0,40.0,60640
46.0,21.0,60640
46.0,14.0,60640
46.0,2.0,60640
48.0,11.0,60640
48.0,28.0,60640
48.0,29.0,60640
47.0,38.0,60640
48.0,9.0,60640
47.0,30.0,60640
48.0,10.0,60640
47.0,15.0,60640
47.0,19.0,60640
47.0,23.0,60640
47.0,5.0,60640
47.0,10.0,60640
47.0,18.0,60640
47.0,22.0,60640
47.0,26.0,60640
47.0,31.0,60640
47.0,32.0,60640
47.0,34.0,60640
47.0,36.0,60640
47.0,37.0,60640
47.0,39.0,60640
47.0,41.0,60640
48.0,1.0,60640
48.0,2.0,60640
48.0,3.0,60640
48.0,4.0,60640
48.0,5.0,60640
48.0,6.0,60640
48.0,7.0,60640
48.0,12.0,60640
48.0,14.0,60640
48.0,17.0,60640
48.0,19.0,60640
48.0,21.0,60640
48.0,23.0,60640
48.0,24.0,60640
48.0,35.0,60640
48.0,36.0,60640
48.0,39.0,60640
48.0,44.0,60640
48.0,43.0,60640
48.0,41.0,60640
40.0,28.0,60626
40.0,37.0,60626
40.0,35.0,60626
50.0,13.0,60626
50.0,28.0,60626
50.0,35.0,60626
48.0,20.0,60626
48.0,15.0,60626
48.0,46.0,60626
48.0,27.0,60626
48.0,34.0,60626
48.0,45.0,60626
49.0,2.0,60626
49.0,12.0,60626
49.0,18.0,60626
49.0,1.0,60626
49.0,3.0,60626
49.0,4.0,60626
49.0,5.0,60626
49.0,6.0,60626
49.0,7.0,60626
49.0,9.0,60626
49.0,10.0,60626
49.0,11.0,60626
49.0,13.0,60626
49.0,14.0,60626
49.0,15.0,60626
49.0,16.0,60626
49.0,17.0,60626
49.0,19.0,60626
49.0,22.0,60626
49.0,23.0,60626
49.0,25.0,60626
49.0,27.0,60626
49.0,29.0,60626
49.0,31.0,60626
49.0,30.0,60626
49.0,26.0,60626
49.0,28.0,60626
49.0,20.0,60626
49.0,32.0,60626
49.0,33.0,60626
44.0,11.0,60657
46.0,30.0,60657
44.0,12.0,60657
44.0,6.0,60657
44.0,23.0,60657
44.0,24.0,60657
44.0,1.0,60657
44.0,7.0,60657
44.0,8.0,60657
44.0,9.0,60657
44.0,10.0,60657
44.0,3.0,60657
44.0,4.0,60657
44.0,5.0,60657
44.0,14.0,60657
44.0,15.0,60657
44.0,16.0,60657
44.0,17.0,60657
44.0,19.0,60657
44.0,20.0,60657
44.0,21.0,60657
44.0,22.0,60657
44.0,35.0,60657
44.0,26.0,60657
44.0,27.0,60657
44.0,29.0,60657
44.0,31.0,60657
44.0,32.0,60657
44.0,33.0,60657
44.0,36.0,60657
44.0,37.0,60657
44.0,38.0,60657
44.0,39.0,60657
44.0,40.0,60657
44.0,41.0,60657
44.0,34.0,60657
44.0,30.0,60657
44.0,28.0,60657
44.0,18.0,60657
44.0,13.0,60657
44.0,2.0,60657
46.0,31.0,60657
46.0,33.0,60657
46.0,36.0,60657
46.0,39.0,60657
46.0,19.0,60657
1.0,28.0,60657
43.0,46.0,60657
32.0,7.0,60657
32.0,8.0,60657
32.0,10.0,60657
32.0,15.0,60657
32.0,18.0,60657
32.0,21.0,60657
32.0,23.0,60657
32.0,24.0,60657
32.0,27.0,60657
32.0,30.0,60657
32.0,40.0,60657
32.0,41.0,60657
32.0,42.0,60657
32.0,38.0,60657
