Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60601,PRECINCT,11
City of Chicago,60601,PRECINCT,19
City of Chicago,60601,PRECINCT,2
City of Chicago,60601,PRECINCT,20
City of Chicago,60601,PRECINCT,3
City of Chicago,60601,PRECINCT,4
City of Chicago,60601,PRECINCT,5
City of Chicago,60601,PRECINCT,6
City of Chicago,60602,PRECINCT,15
City of Chicago,60602,PRECINCT,19
City of Chicago,60602,PRECINCT,20
City of Chicago,60603,PRECINCT,14
City of Chicago,60603,PRECINCT,15
City of Chicago,60603,PRECINCT,19
City of Chicago,60603,PRECINCT,20
City of Chicago,60604,PRECINCT,15
City of Chicago,60604,PRECINCT,19
City of Chicago,60604,PRECINCT,28
City of Chicago,60605,PRECINCT,10
City of Chicago,60605,PRECINCT,13
City of Chicago,60605,PRECINCT,14
City of Chicago,60605,PRECINCT,15
City of Chicago,60605,PRECINCT,16
City of Chicago,60605,PRECINCT,17
City of Chicago,60605,PRECINCT,18
City of Chicago,60605,PRECINCT,19
City of Chicago,60605,PRECINCT,21
City of Chicago,60605,PRECINCT,25
City of Chicago,60605,PRECINCT,26
City of Chicago,60605,PRECINCT,27
City of Chicago,60605,PRECINCT,28
City of Chicago,60605,PRECINCT,9
City of Chicago,60606,PRECINCT,11
City of Chicago,60606,PRECINCT,13
City of Chicago,60606,PRECINCT,14
City of Chicago,60606,PRECINCT,15
City of Chicago,60607,PRECINCT,1
City of Chicago,60607,PRECINCT,10
City of Chicago,60607,PRECINCT,13
City of Chicago,60607,PRECINCT,14
City of Chicago,60607,PRECINCT,15
City of Chicago,60607,PRECINCT,16
City of Chicago,60607,PRECINCT,17
City of Chicago,60607,PRECINCT,18
City of Chicago,60607,PRECINCT,2
City of Chicago,60607,PRECINCT,27
City of Chicago,60607,PRECINCT,3
City of Chicago,60607,PRECINCT,4
City of Chicago,60607,PRECINCT,5
City of Chicago,60607,PRECINCT,6
City of Chicago,60607,PRECINCT,7
City of Chicago,60607,PRECINCT,8
City of Chicago,60607,PRECINCT,9
City of Chicago,60608,PRECINCT,10
City of Chicago,60608,PRECINCT,11
City of Chicago,60608,PRECINCT,12
City of Chicago,60608,PRECINCT,13
City of Chicago,60608,PRECINCT,14
City of Chicago,60608,PRECINCT,15
City of Chicago,60608,PRECINCT,16
City of Chicago,60608,PRECINCT,17
City of Chicago,60608,PRECINCT,18
City of Chicago,60608,PRECINCT,19
City of Chicago,60608,PRECINCT,3
City of Chicago,60608,PRECINCT,4
City of Chicago,60608,PRECINCT,5
City of Chicago,60608,PRECINCT,6
City of Chicago,60608,PRECINCT,7
City of Chicago,60608,PRECINCT,8
City of Chicago,60608,PRECINCT,9
City of Chicago,60609,PRECINCT,1
City of Chicago,60609,PRECINCT,12
City of Chicago,60609,PRECINCT,15
City of Chicago,60609,PRECINCT,17
City of Chicago,60609,PRECINCT,18
City of Chicago,60609,PRECINCT,19
City of Chicago,60609,PRECINCT,2
City of Chicago,60609,PRECINCT,20
City of Chicago,60609,PRECINCT,21
City of Chicago,60609,PRECINCT,22
City of Chicago,60609,PRECINCT,23
City of Chicago,60609,PRECINCT,24
City of Chicago,60609,PRECINCT,26
City of Chicago,60609,PRECINCT,3
City of Chicago,60609,PRECINCT,4
City of Chicago,60609,PRECINCT,5
City of Chicago,60609,PRECINCT,6
City of Chicago,60609,PRECINCT,7
City of Chicago,60609,PRECINCT,8
City of Chicago,60609,PRECINCT,9
City of Chicago,60610,PRECINCT,1
City of Chicago,60610,PRECINCT,10
City of Chicago,60610,PRECINCT,11
City of Chicago,60610,PRECINCT,12
City of Chicago,60610,PRECINCT,13
City of Chicago,60610,PRECINCT,14
City of Chicago,60610,PRECINCT,15
City of Chicago,60610,PRECINCT,16
City of Chicago,60610,PRECINCT,17
City of Chicago,60610,PRECINCT,18
City of Chicago,60610,PRECINCT,19
City of Chicago,60610,PRECINCT,2
City of Chicago,60610,PRECINCT,20
City of Chicago,60610,PRECINCT,21
City of Chicago,60610,PRECINCT,22
City of Chicago,60610,PRECINCT,28
City of Chicago,60610,PRECINCT,3
City of Chicago,60610,PRECINCT,6
City of Chicago,60610,PRECINCT,9
City of Chicago,60611,PRECINCT,1
City of Chicago,60611,PRECINCT,10
City of Chicago,60611,PRECINCT,2
City of Chicago,60611,PRECINCT,22
City of Chicago,60611,PRECINCT,23
City of Chicago,60611,PRECINCT,24
City of Chicago,60611,PRECINCT,3
City of Chicago,60611,PRECINCT,4
City of Chicago,60611,PRECINCT,5
City of Chicago,60611,PRECINCT,6
City of Chicago,60611,PRECINCT,7
City of Chicago,60611,PRECINCT,8
City of Chicago,60611,PRECINCT,9
City of Chicago,60612,PRECINCT,1
